Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PATCH,/constructor-be/anket/5010433,1,0,583.3115830027964,583.3115830027964,583.3115830027964,583.3115830027964,2462.0,0.0006663087926396316,0.0,580,580,580,580,580,580,580,580,580,580,580
PATCH,/constructor-be/anket/5010440,1,0,799.0753749909345,799.0753749909345,799.0753749909345,799.0753749909345,2334.0,0.0006663087926396316,0.0,800,800,800,800,800,800,800,800,800,800,800
PATCH,/constructor-be/anket/5010451,1,0,449.42908400844317,449.42908400844317,449.42908400844317,449.42908400844317,2375.0,0.0006663087926396316,0.0,450,450,450,450,450,450,450,450,450,450,450
PATCH,/constructor-be/anket/5010471,1,0,148.15754198934883,148.15754198934883,148.15754198934883,148.15754198934883,2536.0,0.0006663087926396316,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/constructor-be/anket/5010472,1,0,240.25516600522678,240.25516600522678,240.25516600522678,240.25516600522678,2551.0,0.0006663087926396316,0.0,240,240,240,240,240,240,240,240,240,240,240
PATCH,/constructor-be/anket/5010474,1,0,145.44954200391658,145.44954200391658,145.44954200391658,145.44954200391658,2382.0,0.0006663087926396316,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/constructor-be/anket/5010479,1,0,199.64379101293162,199.64379101293162,199.64379101293162,199.64379101293162,2529.0,0.0006663087926396316,0.0,200,200,200,200,200,200,200,200,200,200,200
PATCH,/constructor-be/anket/5010481,1,0,243.42008400708437,243.42008400708437,243.42008400708437,243.42008400708437,2356.0,0.0006663087926396316,0.0,240,240,240,240,240,240,240,240,240,240,240
PATCH,/constructor-be/anket/5010484,1,0,261.47733299876563,261.47733299876563,261.47733299876563,261.47733299876563,2483.0,0.0006663087926396316,0.0,260,260,260,260,260,260,260,260,260,260,260
PATCH,/constructor-be/anket/5010491,1,0,342.3274580127327,342.3274580127327,342.3274580127327,342.3274580127327,2458.0,0.0006663087926396316,0.0,340,340,340,340,340,340,340,340,340,340,340
